budget,states_checked,actions_checked,official_seconds,oracle_seconds,max_state_error,terminal_value
4,25,56,0.10167922102846205,0.001410794910043478,0.0,2.4
6,49,162,0.12908055493608117,0.0034855150151997805,0.0,3.5999999999999996
8,81,352,0.19489157292991877,0.008043833076953888,0.0,4.8
10,121,650,0.30583862285129726,0.015681724064052105,0.0,6.0
12,169,1080,0.47892355895601213,0.027170927030965686,0.0,7.199999999999999
16,289,2432,1.061349306954071,0.0696402839384973,8.881784197001252e-16,9.6
20,441,4600,2.0718385518994182,0.14189679501578212,1.7763568394002505e-15,12.0
